Subject,FileName,LabelIndex,StartTime,EndTime,Label,PreLabel1,NextLabel1,F1_T1,F1_T2,F1_T3,F1_T4,F1_T5,F1_T6,F1_T7,F1_T8,F1_T9,F1_T10,F2_T1,F2_T2,F2_T3,F2_T4,F2_T5,F2_T6,F2_T7,F2_T8,F2_T9,F2_T10,F3_T1,F3_T2,F3_T3,F3_T4,F3_T5,F3_T6,F3_T7,F3_T8,F3_T9,F3_T10
S01,T0001,4,0.795489129197653,0.980340709756234,IY1,HH,D,292.5,288.022994950799,294.242978382989,287.73688478627,296.487267689838,308.838011946653,302.142303593632,276.990260437853,273.672348721243,278.2,2360.7,2345.26476765476,2371.03664312484,2318.21243656687,2339.85766395383,2274.19962106213,2243.10341951237,2192.78980456591,2190.11636309342,2184.6,3110.4,3079.76342452145,3062.2627256751,3032.64249201371,3039.82971443151,3013.23481142151,2941.94915676134,2744.32688038677,2748.9251880448,2896.7
S01,T0002,5,0.770968001164372,1.05390409385608,UW1,L,sp,410.3,409.377428289019,347.666523255104,361.386418870085,381.512174101483,351.93893571434,327.792032528305,333.249394606962,364.517500506113,494.4,1265.4,1281.99561136596,1236.0916068229,1239.13292933309,1197.4095608563,1132.60163836235,1055.48194240358,976.891144945454,900.230138158172,1426.4,2517.9,2430.41550574738,2371.35224053161,2270.36660875811,2258.1389726369,2224.35663248908,2240.50676176237,2324.58645396559,2307.77799506081,2328.3
S02,T0001,4,0.795489129197653,0.980340709756234,IY1,HH,D,292.5,288.022994950799,294.242978382989,287.73688478627,296.487267689838,308.838011946653,302.142303593632,276.990260437853,273.672348721243,278.2,2360.7,2345.26476765476,2371.03664312484,2318.21243656687,2339.85766395383,2274.19962106213,2243.10341951237,2192.78980456591,2190.11636309342,2184.6,3110.4,3079.76342452145,3062.2627256751,3032.64249201371,3039.82971443151,3013.23481142151,2941.94915676134,2744.32688038677,2748.9251880448,2896.7
S02,T0002,5,0.770968001164372,1.05390409385608,UW1,L,sp,410.3,409.377428289019,347.666523255104,361.386418870085,381.512174101483,351.93893571434,327.792032528305,333.249394606962,364.517500506113,494.4,1265.4,1281.99561136596,1236.0916068229,1239.13292933309,1197.4095608563,1132.60163836235,1055.48194240358,976.891144945454,900.230138158172,1426.4,2517.9,2430.41550574738,2371.35224053161,2270.36660875811,2258.1389726369,2224.35663248908,2240.50676176237,2324.58645396559,2307.77799506081,2328.3
